"month" "APHRO" "TRMM" "ERA" "MERRA" "Count"
"200906" TRUE TRUE TRUE TRUE 4
"200907" TRUE TRUE TRUE TRUE 4
"200908" TRUE TRUE TRUE TRUE 4
"200909" TRUE TRUE TRUE TRUE 4
"200910" TRUE TRUE FALSE FALSE 2
"200911" TRUE TRUE FALSE FALSE 2
"200912" TRUE TRUE FALSE FALSE 2
"201001" TRUE TRUE FALSE FALSE 2
"201002" TRUE TRUE FALSE FALSE 2
"201003" TRUE TRUE FALSE FALSE 2
"201004" TRUE TRUE TRUE TRUE 4
"201005" TRUE TRUE TRUE TRUE 4
"201006" TRUE TRUE TRUE TRUE 4
"201007" TRUE TRUE TRUE TRUE 4
"201008" TRUE TRUE TRUE TRUE 4
"201009" TRUE TRUE TRUE TRUE 4
"201010" TRUE TRUE FALSE FALSE 2
"201011" TRUE TRUE FALSE FALSE 2
"201012" TRUE TRUE FALSE FALSE 2
"201101" TRUE TRUE FALSE FALSE 2
"201102" TRUE TRUE FALSE FALSE 2
"201103" TRUE TRUE FALSE FALSE 2
"201104" TRUE TRUE TRUE TRUE 4
"201105" TRUE TRUE TRUE TRUE 4
"201106" TRUE TRUE TRUE TRUE 4
"201107" TRUE TRUE TRUE TRUE 4
"201108" TRUE TRUE TRUE TRUE 4
"201109" TRUE TRUE TRUE TRUE 4
"201110" TRUE TRUE FALSE FALSE 2
"201111" TRUE TRUE FALSE FALSE 2
"201112" TRUE TRUE FALSE FALSE 2
"201201" TRUE TRUE FALSE FALSE 2
"201202" TRUE TRUE FALSE FALSE 2
"201203" TRUE TRUE FALSE FALSE 2
"201204" TRUE TRUE TRUE TRUE 4
"201205" TRUE TRUE TRUE TRUE 4
"201206" TRUE TRUE TRUE TRUE 4
"201207" TRUE TRUE TRUE TRUE 4
"201208" TRUE TRUE TRUE TRUE 4
"201209" TRUE TRUE TRUE TRUE 4
"201210" TRUE TRUE FALSE FALSE 2
"201211" TRUE TRUE FALSE FALSE 2
"201212" TRUE TRUE FALSE FALSE 2
"201301" TRUE TRUE FALSE FALSE 2
"201302" TRUE TRUE FALSE FALSE 2
"201303" TRUE TRUE FALSE FALSE 2
"201304" TRUE TRUE TRUE TRUE 4
"201305" TRUE TRUE TRUE TRUE 4
"201306" TRUE TRUE TRUE TRUE 4
"201307" TRUE TRUE TRUE TRUE 4
"201308" TRUE TRUE TRUE TRUE 4
"201309" TRUE TRUE TRUE TRUE 4
"201310" TRUE TRUE FALSE FALSE 2
"201311" TRUE TRUE FALSE FALSE 2
"201312" TRUE TRUE FALSE FALSE 2
"201401" TRUE TRUE FALSE FALSE 2
"201402" TRUE TRUE FALSE FALSE 2
"201403" TRUE TRUE FALSE FALSE 2
"201404" TRUE TRUE TRUE TRUE 4
"201405" TRUE TRUE TRUE TRUE 4
"201406" TRUE TRUE TRUE TRUE 4
"201407" TRUE TRUE TRUE TRUE 4
"201408" TRUE TRUE TRUE TRUE 4
"201409" TRUE TRUE TRUE TRUE 4
"201410" TRUE TRUE FALSE FALSE 2
"201411" TRUE TRUE FALSE FALSE 2
"201412" TRUE TRUE FALSE FALSE 2
"201501" TRUE TRUE FALSE FALSE 2
"201502" TRUE TRUE FALSE FALSE 2
"201503" TRUE TRUE FALSE FALSE 2
"201504" TRUE TRUE TRUE TRUE 4
"201505" TRUE TRUE TRUE TRUE 4
"201506" TRUE TRUE TRUE TRUE 4
"201507" TRUE TRUE TRUE TRUE 4
"201508" TRUE TRUE TRUE TRUE 4
"201509" TRUE TRUE TRUE TRUE 4
"201510" TRUE TRUE FALSE FALSE 2
"201511" TRUE TRUE FALSE FALSE 2
"201512" TRUE TRUE FALSE FALSE 2
"201601" FALSE TRUE FALSE FALSE 1
"201602" FALSE TRUE FALSE FALSE 1
"201603" FALSE TRUE FALSE FALSE 1
"201604" FALSE TRUE TRUE TRUE 3
"201605" FALSE TRUE TRUE TRUE 3
"201606" FALSE TRUE TRUE TRUE 3
"201607" FALSE TRUE TRUE TRUE 3
"201608" FALSE TRUE TRUE TRUE 3
"201609" FALSE TRUE TRUE TRUE 3
"201610" FALSE TRUE FALSE FALSE 1
"201611" FALSE TRUE FALSE FALSE 1
"201612" FALSE TRUE FALSE FALSE 1
"201701" FALSE TRUE FALSE FALSE 1
"201702" FALSE TRUE FALSE FALSE 1
"201703" FALSE TRUE FALSE FALSE 1
"201704" FALSE TRUE TRUE TRUE 3
"201705" FALSE TRUE TRUE TRUE 3
"201706" FALSE TRUE TRUE TRUE 3
"201707" FALSE TRUE TRUE TRUE 3
"201708" FALSE TRUE TRUE TRUE 3
